osmid,length
25957266,118.289
25954549,52.407999999999994
25957266,21.981
25957267,104.739
25954549,52.407999999999994
25954549,52.564
25954549,41.428
25954549,10.365
"[25957268, 476590565]",314.722
25954549,41.428
25954549,82.929
25957269,203.57899999999998
25957269,119.02199999999999
25957269,203.579
25957270,293.226
25957269,8.868
127049390,141.346
25954549,64.077
25954549,82.929
25957270,293.22600000000006
127049390,23.898
636252887,71.379
210337583,28.079
1218732023,65.023
210337583,122.78
210337583,8.628
127049390,96.895
25957273,78.926
25957273,61.102
218691383,93.263
210337591,70.763
"[1182002168, 51877260]",317.37800000000004
1182002168,209.611
27850903,221.037
50106079,130.626
1182002168,209.61100000000005
50106111,18.081
27850903,93.649
50106146,120.451
28217354,7.99
"[529188561, 280765138]",108.305
25956260,282.521
25956260,162.836
28217354,258.395
22841057,93.754
22841057,189.069
25956262,161.577
25956261,117.748
206994690,114.228
206994690,70.548
25956261,117.748
858378494,168.904
25956261,197.772
25956262,188.595
25956262,373.86
215804432,138.099
25956262,161.577
25956262,188.595
25956265,277.82
25956265,6.377
25956265,277.82
215804432,138.099
1204884518,95.845
"[858357833, 25956260, 28565717]",572.569
28565723,8.75
28565723,191.98599999999996
"[1204884518, 1146956045, 212751757]",138.275
177430404,47.347
177430404,11.985
617680659,256.858
30876504,188.744
53744511,77.487
53744511,59.957
838569749,5.288
1271649476,39.923
198570660,12.097
198580672,33.14
237636388,15.096
283124050,195.195
283124050,28.796
1120011065,47.269
30995907,53.089
31013602,38.159
210212278,55.104
210212278,38.803
281883263,47.585
1104963657,82.961
31046595,61.996
281883263,34.546
281883263,47.585
281883263,45.097
436501440,33.453
281883263,77.337
22841250,141.115
281883263,22.418
22841250,88.28399999999999
783660923,12.3
1031562688,17.965
22841607,108.59
436532595,64.66300000000001
22841130,53.716
31013602,127.39
31046592,134.209
22841130,121.162
22841130,95.649
31046594,57.188
31046594,57.188
210212232,85.768
210212232,78.759
210212232,85.768
229873833,50.933
229873833,53.178
30995907,53.089
30995907,21.54
31046595,55.49
22841130,53.716
22841130,121.162
198586096,353.646
22841250,88.28399999999999
31046777,12.767
31046777,9.305
